Label;Id;patent_title;link;data;assignee;abstract
3,962,414;1;Structured bioerodible drug delivery device;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22;1976;Alza Corporation;"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug."
4,931,279;2;Sustained release formulation containing an ion-exchange resin;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=100&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1990;;
4,983,392;3;Bioadhesive compositions and methods of treatment therewith;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=99&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1991;;
4,997,652;4;Biodegradable ocular implants;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=98&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1991;;
5,093,126;5;"Glaucoma formulations comprising an anionic, polysulfonic acid polymer
     having mucomimetic properties and a polystyrene sulfonic polymer";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=97&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1992;;
5,164,188;6;Biodegradable ocular implants;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=96&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1992;;
5,185,152;7;"Method and apparatus for controlled release drug delivery to the cornea
     and anterior chamber of the eye";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=95&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1993;;
5,200,180;8;Pharmaceutical composition for the treatment of the human eye;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=94&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1993;;
5,225,196;9;Bioadhesive compositions and methods of treatment therewith;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=93&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1993;;
5,399,683;10;"Mirror amide cord factors and mirror thioester cord factors for
     diagnosis of tuberculosis";http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=92&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414;1995;;
