Source,Target,Type,patent_number_of_citator,patent_number_of_cited,data
2,1,Directed,"4,997,652","3,962,414",1991
3,1,Directed,"5,093,126","3,962,414",1992
4,1,Directed,"5,164,188","3,962,414",1992
5,1,Directed,"5,185,152","3,962,414",1993
6,1,Directed,"5,200,180","3,962,414",1993
7,1,Directed,"5,225,196","3,962,414",1993
8,1,Directed,"5,399,683","3,962,414",1995
9,1,Directed,"5,484,604","3,962,414",1996
10,1,Directed,"5,646,206","3,962,414",1997
11,1,Directed,"5,681,568","3,962,414",1997
12,1,Directed,"6,196,993","3,962,414",2001
13,1,Directed,"6,258,350","3,962,414",2001
14,1,Directed,"6,262,115","3,962,414",2001
15,1,Directed,"6,391,052","3,962,414",2002
16,1,Directed,"6,555,110","3,962,414",2003
17,1,Directed,"6,833,140","3,962,414",2004
18,1,Directed,"6,919,092","3,962,414",2005
19,1,Directed,"6,919,373","3,962,414",2005
20,1,Directed,"6,930,129","3,962,414",2005
21,1,Directed,"7,001,615","3,962,414",2006
22,1,Directed,"7,101,912","3,962,414",2006
23,1,Directed,"7,109,239","3,962,414",2006
24,1,Directed,"7,208,611","3,962,414",2007
25,1,Directed,"7,232,924","3,962,414",2007
26,1,Directed,"7,300,956","3,962,414",2007
27,1,Directed,"7,323,585","3,962,414",2008
28,1,Directed,"7,342,131","3,962,414",2008
29,1,Directed,"7,351,740","3,962,414",2008
30,1,Directed,"7,420,002","3,962,414",2008
31,1,Directed,"7,423,169","3,962,414",2008
32,1,Directed,"7,425,543","3,962,414",2008
33,1,Directed,"7,494,985","3,962,414",2009
34,1,Directed,"7,534,813","3,962,414",2009
35,1,Directed,"7,563,821","3,962,414",2009
36,1,Directed,"7,566,738","3,962,414",2009
37,1,Directed,"7,572,830","3,962,414",2009
38,1,Directed,"7,585,996","3,962,414",2009
39,1,Directed,"7,592,369","3,962,414",2009
40,1,Directed,"7,645,797","3,962,414",2010
41,1,Directed,"7,671,089","3,962,414",2010
42,1,Directed,"7,700,652","3,962,414",2010
43,1,Directed,"7,709,527","3,962,414",2010
44,1,Directed,"7,749,985","3,962,414",2010
45,1,Directed,"7,777,070","3,962,414",2010
46,1,Directed,"7,829,592","3,962,414",2010
47,1,Directed,"7,893,105","3,962,414",2011
48,1,Directed,"7,935,686","3,962,414",2011
49,1,Directed,"7,956,212","3,962,414",2011
50,1,Directed,"7,968,597","3,962,414",2011
51,1,Directed,"7,976,520","3,962,414",2011
52,1,Directed,"8,084,059","3,962,414",2011
53,1,Directed,"8,105,652","3,962,414",2012
54,1,Directed,"8,114,909","3,962,414",2012
55,1,Directed,"8,163,798","3,962,414",2012
56,1,Directed,"8,163,958","3,962,414",2012
57,1,Directed,"8,167,855","3,962,414",2012
58,1,Directed,"8,193,242","3,962,414",2012
59,1,Directed,"8,287,504","3,962,414",2012
