Id,Label,patent_title,link,data,assignee,abstract
,patent_number,patent_link,patent_link-href,patent_date,patent_assignee,patent_abstract
,citator_patent_number,citator_link,citator_link-href,citator_date,,
,"5,357,034",Lactide polymerization,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=600&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=12&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,"October 18, 1994","Camelot Technologies Inc.
 (Leominster, 
MA)","High molecular weight polylactic acid is generally produced by the
     polymerization of lactide. Lactide is prepared by the depolymerization of
     low molecular weight polylactic acid. There are difficulties in the
     preparation of high molecular weight polylactic acid and high purity
     lactide isomers due to the equilibrium between lactic acid, low molecular
     weight polylactic acid, high molecular weight polylactic acid, lactide and
     water. Further it has never been proposed to provide a continuous process
     to produce high molecular weight polylactic acid from lactic acid. The
     present invention overcomes the equilibrium problem and provides a
     continuous process."
,"5,357,035","Continuous process for manufacture of lactide polymers with purification
     by distillation",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=599&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=12&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,"*
     October 18, 1994","Cargill, Incorporated
 (Minnetonka, 
MN)","A process for the continuous production of polylactide polymers from lactic
     acid which incorporates removal of water or a solvent carrier to
     concentrate the lactic acid feed followed by polymerization to a
     low-molecular-weight prepolymer. This prepolymer is fed to a reactor in
     which a catalyst is added to facilitate generation of lactide, the
     depolymerization product of polylactic acid. The lactide generated is
     continuously fed to a distillation system as a liquid or vapor wherein
     water and other impurities are removed. The resultant purified liquid
     lactide is fed directly to a polymerization process."
,"5,714,573","Impact modified melt-stable lactide polymer compositions and processes
     for manufacture thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=50&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"February 3, 1998",,
,"5,922,832","Impact modified melt-stable lactide polymer compositions and processes
     for manufacture thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=49&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"July 13, 1999",,
,"6,153,231",Environmentally friendly chewing gum bases,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=48&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"November 28, 2000",,
,"6,229,046",Lactic acid processing methods arrangements and products,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=47&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"May 8, 2001",,
,"6,277,951","Continuous process for manufacture of lactide polymers with controlled
     optical purity",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=46&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"August 21, 2001",,
,"6,320,077","Lactic acid processing; methods; arrangements; and, product",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=45&f=G&l=50&d=PALL&S1=5357035.UREF.&OS=ref/5357035&RS=REF/5357035,"November 20, 2001",,
