web-scraper-order,web-scraper-start-url,patent_link,patent_link-href,patent_date,patent_abstract,patent_number,patent_assignee,referenced_by_link,referenced_by_link-href,citator_link,citator_link-href,pagination,pagination-href,citator_patent_number,citator_date
1519571925-1,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,Sustained release formulation containing an ion-exchange resin,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=100&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"4,931,279",1990
1519571930-2,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,Bioadhesive compositions and methods of treatment therewith,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=99&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"4,983,392",1991
1519571933-3,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,Biodegradable ocular implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=98&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"4,997,652",1991
1519571936-4,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,"Glaucoma formulations comprising an anionic, polysulfonic acid polymer
     having mucomimetic properties and a polystyrene sulfonic polymer",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=97&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"5,093,126",1992
1519571938-5,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,Biodegradable ocular implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=96&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"5,164,188",1992
1519571941-6,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,"Method and apparatus for controlled release drug delivery to the cornea
     and anterior chamber of the eye",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=95&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"5,185,152",1993
1519571943-7,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,Pharmaceutical composition for the treatment of the human eye,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=94&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"5,200,180",1993
1519571947-8,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,Bioadhesive compositions and methods of treatment therewith,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=93&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"5,225,196",1993
1519571949-9,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,"Mirror amide cord factors and mirror thioester cord factors for
     diagnosis of tuberculosis",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=92&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"5,399,683",1995
1519571951-10,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&f=S&l=50&d=PTXT&RS=ABST%2F%22polylactic+acid%22&Query=ABST%2F%22polylactic+acid%22&TD=621&Srch1=%22polylactic+acid%22.ABTX.&StartAt=Jump+To&StartNum=615,Structured bioerodible drug delivery device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=623&f=G&l=50&d=PTXT&s1=%22polylactic+acid%22.ABTX.&p=13&OS=ABST/%22polylactic+acid%22&RS=ABST/%22polylactic+acid%22,1976,"A drug delivery device for the continuous and controlled administration of
     a predetermined therapeutically effective dosage of eye drug to the eye of
     a mamallian patient over a prolonged period of time. The device meters the
     flow of polylactic acid polymer micro-encapsulated eye drug by means of a
     drug release rate controlling material comprised of an anionic polyvalent
     metal cation cross-linked polyelectrolyte. The device bioerodes in the
     biological environment of the patient concurrently with the dispensing or
     at a point in time after the dispensing of the therapeutically desired
     amount of drug.","3,962,414","Alza Corporation
 (Palo Alto, 
CA)",[Referenced By],http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/3962414,Cross-linked alginate transdermal medicine delivery devices,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=91&f=G&l=50&d=PALL&S1=3962414.UREF.&OS=ref/3962414&RS=REF/3962414,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&S1=3962414.UREF.&Page=Next&OS=ref/3962414&RS=REF/3962414,"5,484,604",1996
